employment_income,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62000.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
64000.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
66000.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0,296.0
68000.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0
70000.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0,566.0
72000.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0,701.0
74000.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0,836.0
76000.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0
78000.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0
80000.0,1241.0,1241.0,1241.0,1241.0,1241.0,1241.0,1241.0,1241.0
82000.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0,1376.0
84000.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0,1511.0
86000.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0
88000.0,1781.0,1781.0,1781.0,1781.0,1781.0,1781.0,1781.0,1781.0
90000.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0,1916.0
92000.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0,2051.0
94000.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0,2186.0
96000.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0,2321.0
98000.0,2456.0,2456.0,2456.0,2456.0,2456.0,2456.0,2456.0,2456.0
