deducts,amt_minus_basic_0,amt_minus_basic_1,amt_minus_basic_2,amt_minus_basic_3,amt_minus_basic_4,amt_minus_basic_5,amt_minus_basic_6,amt_minus_basic_7
0.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
2000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
4000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
6000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
8000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
10000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
12000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
14000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
16000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
18000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
20000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
22000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
24000.0,-11367.345,-11018.02,-10668.695,-10342.575,-10039.975,-9737.375,-9434.775,-9132.175
26000.0,-11351.645,-11002.32,-10652.995,-10328.975,-10026.375,-9723.775,-9421.175,-9118.575
28000.0,-11194.645,-10845.32,-10495.995,-10192.975,-9890.375,-9587.775,-9285.175,-8982.575
30000.0,-11037.645,-10688.32,-10359.575,-10056.975,-9754.375,-9451.775,-9149.175,-8846.575
32000.0,-10880.645,-10531.32,-10223.575,-9920.975,-9618.375,-9315.775,-9013.175,-8622.575
34000.0,-10723.645,-10390.175,-10087.575,-9784.975,-9482.375,-9179.775,-8877.175,-8350.575
36000.0,-10566.645,-10254.175,-9951.575,-9648.975,-9346.375,-9043.775,-8684.175,-8078.575
38000.0,-10420.775,-10118.175,-9815.575,-9512.975,-9210.375,-8907.775,-8412.175,-7806.575
40000.0,-10284.775,-9982.175,-9679.575,-9376.975,-9074.375,-8744.775,-8140.175,-7534.575
42000.0,-10148.775,-9846.175,-9543.575,-9240.975,-8938.375,-8472.775,-7868.175,-7262.575
44000.0,-10012.775,-9710.175,-9407.575,-9104.975,-8802.375,-8200.775,-7596.175,-6990.575
46000.0,-9876.775,-9574.175,-9271.575,-8968.975,-8534.375,-7928.7754,-7324.175,-6718.575
48000.0,-9740.775,-9438.175,-9135.575,-8832.975,-8262.375,-7656.7754,-7052.175,-6446.575
50000.0,-9604.775,-9302.175,-8999.575,-8594.975,-7990.375,-7384.775,-6780.175,-6174.575
52000.0,-9468.775,-9166.175,-8863.575,-8322.975,-7718.375,-7112.775,-6508.175,-5902.575
54000.0,-9332.775,-9030.175,-8656.575,-8050.9746,-7446.375,-6840.775,-6236.175,-5630.575
56000.0,-9196.775,-8894.175,-8384.575,-7778.9746,-7174.375,-6568.775,-5964.175,-5358.575
58000.0,-9060.775,-8718.175,-8112.575,-7506.975,-6902.375,-6296.775,-5692.175,-5086.575
60000.0,-8924.775,-8446.175,-7840.575,-7234.975,-6630.375,-6024.775,-5420.175,-4814.575
62000.0,-8778.775,-8174.175,-7568.575,-6962.975,-6358.375,-5752.775,-5148.175,-4542.575
64000.0,-8506.775,-7902.175,-7296.575,-6690.975,-6086.375,-5480.775,-4876.175,-4270.575
66000.0,-8234.775,-7630.175,-7024.575,-6418.975,-5814.375,-5208.775,-4604.175,-3998.5752
68000.0,-7962.7754,-7358.175,-6752.575,-6146.975,-5542.375,-4936.775,-4332.175,-3726.5752
70000.0,-7690.7754,-7086.175,-6480.575,-5874.975,-5270.375,-4664.775,-4060.1748,-3454.5752
72000.0,-7418.775,-6814.175,-6208.575,-5602.975,-4998.375,-4392.775,-3788.1748,-3182.5752
74000.0,-7146.775,-6542.175,-5936.575,-5330.975,-4726.375,-4120.775,-3516.1748,-2910.5752
76000.0,-6874.775,-6270.175,-5664.575,-5058.975,-4454.375,-3848.775,-3244.1748,-2638.5752
78000.0,-6602.775,-5998.175,-5392.575,-4786.975,-4182.375,-3576.775,-2972.1748,-2366.5752
80000.0,-6330.775,-5726.175,-5120.575,-4514.975,-3910.375,-3304.775,-2700.1748,-2094.5752
82000.0,-6058.775,-5454.175,-4848.575,-4242.975,-3638.375,-3032.775,-2428.1748,-1822.5752
84000.0,-5786.775,-5182.175,-4576.575,-3970.975,-3366.375,-2760.775,-2156.1748,-1550.5752
86000.0,-5514.775,-4910.175,-4304.575,-3698.975,-3094.375,-2488.775,-1884.1748,-1278.5752
88000.0,-5242.775,-4638.175,-4032.5752,-3426.975,-2822.375,-2216.775,-1612.1748,-1006.5752
90000.0,-4970.775,-4366.175,-3760.5752,-3154.975,-2550.375,-1944.7749,-1340.1748,-734.5752
92000.0,-4698.775,-4094.1748,-3488.5752,-2882.975,-2278.375,-1672.7749,-1068.1748,-462.5752
94000.0,-4426.775,-3822.1748,-3216.5752,-2610.975,-2006.375,-1400.7749,-796.1748,-190.5752
96000.0,-4154.775,-3550.1748,-2944.5752,-2338.975,-1734.375,-1128.7749,-524.1748,81.424805
98000.0,-3882.775,-3278.1748,-2672.5752,-2066.975,-1462.375,-856.7749,-252.1748,353.4248
100000.0,-3610.775,-3006.1748,-2400.5752,-1794.9751,-1190.375,-584.7749,19.825195,625.42505
102000.0,-3338.775,-2734.1748,-2128.5752,-1522.9751,-918.375,-312.7749,291.8252,897.42505
104000.0,-3066.775,-2462.1748,-1856.5752,-1250.9751,-646.375,-40.774902,563.8252,1169.425
106000.0,-2794.775,-2190.1748,-1584.5752,-978.9751,-374.375,231.2251,835.82495,1441.425
108000.0,-2522.775,-1918.1748,-1312.5752,-706.9751,-102.375,503.2251,1107.825,1713.425
110000.0,-2250.775,-1646.1748,-1040.5752,-434.9751,169.625,775.2251,1379.825,1985.425
112000.0,-1978.7749,-1374.1748,-768.5752,-162.9751,441.625,1047.2251,1651.825,2257.425
114000.0,-1706.7749,-1102.1748,-496.5752,109.0249,713.625,1319.2251,1923.825,2529.425
116000.0,-1434.7749,-830.1748,-224.5752,381.0249,985.625,1591.2251,2195.825,2801.425
118000.0,-1162.7749,-558.1748,47.424805,653.0249,1257.625,1863.2251,2467.825,3073.425
120000.0,-890.7749,-286.1748,319.4248,925.0249,1529.625,2135.225,2739.825,3345.425
122000.0,-618.7749,-14.174805,591.4248,1197.0249,1801.625,2407.225,3011.825,3617.425
124000.0,-346.7749,257.8252,863.42505,1469.0249,2073.625,2679.225,3283.825,3889.425
126000.0,-74.7749,529.8252,1135.425,1741.0249,2345.625,2951.225,3555.825,4161.425
128000.0,197.2251,801.82495,1407.425,2013.0249,2617.625,3223.225,3827.825,4427.525
130000.0,469.2251,1073.825,1679.425,2285.025,2889.625,3495.225,4099.825,4641.525
132000.0,741.2251,1345.825,1951.425,2557.025,3161.625,3767.225,4371.825,4855.525
134000.0,1013.2251,1617.825,2223.425,2829.025,3433.625,4039.225,4593.45,5069.525
136000.0,1285.2251,1889.825,2495.425,3101.025,3705.625,4311.225,4807.45,5283.525
138000.0,1557.2251,2161.825,2767.425,3373.025,3977.625,4545.375,5021.45,5497.525
140000.0,1829.2251,2433.825,3039.425,3645.025,4249.625,4759.375,5235.45,5711.525
142000.0,2101.225,2705.825,3311.425,3917.025,4497.3,4973.375,5449.45,5925.525
144000.0,2373.225,2977.825,3583.425,4189.025,4711.3,5187.375,5663.45,6139.525
146000.0,2645.225,3249.825,3855.425,4449.225,4925.3,5401.375,5877.45,6353.525
148000.0,2917.225,3521.825,4127.425,4663.225,5139.3,5615.375,6091.45,6567.525
150000.0,3189.225,3793.825,4399.425,4877.225,5353.3,5829.375,6305.45,6781.525
152000.0,3461.225,4065.825,4615.15,5091.225,5567.3,6043.375,6519.45,6995.525
154000.0,3733.225,4337.825,4829.15,5305.225,5781.3,6257.375,6733.45,7209.525
156000.0,4005.225,4567.075,5043.15,5519.225,5995.3,6471.375,6947.45,7423.525
158000.0,4277.225,4781.075,5257.15,5733.225,6209.3,6685.375,7161.45,7637.525
160000.0,4519.0,4995.075,5471.15,5947.225,6423.3,6899.375,7375.45,7851.525
